"MOZART"	59.55	8.01%	214380	214380	0.0800923539	20.6
"BEETHOVEN"	41.67	5.60%	150000	364380	0.136132344	1.4292
"HAYDN"	40.43	5.44%	145560	509940	0.1905135505	
"BACH"	38.95	5.24%	140220	650160	0.2428997332	
"SCHUBERT"	28.47	3.83%	102480	752640	0.2811862545	
"SCHUMANN"	17.93	2.41%	64560	817200	0.3053058663	
"BRAHMS"	17.50	2.35%	63000	880200	0.3288426621	
"MENDELSSOHN"	15.68	2.11%	56460	936660	0.3499361144	
"DVORÁK"	15.02	2.02%	54060	990720	0.3701329269	
"TCHAIKOVSKY"	13.45	1.81%	48420	1039140	0.3882226357	0.6117773643
"CHOPIN"	12.33	1.66%	44400	1083540	0.4048104728	
"DEBUSSY"	10.37	1.39%	37320	1120860	0.4187532223	
"RAVEL"	8.33	1.12%	30000	1150860	0.4299612203	
"HANDEL"	6.98	0.94%	25140	1176000	0.4393535227	
"TELEMANN"	6.87	0.92%	24720	1200720	0.448588913	
"VIVALDI"	6.53	0.88%	23520	1224240	0.4573759835	
"HUMMEL"	6.15	0.83%	22140	1246380	0.465647486	
"SAINT-SAËNS"	6.05	0.81%	21780	1268160	0.4737844926	
"RACHMANINOFF"	5.95	0.80%	21420	1289580	0.4817870032	
"SIBELIUS"	5.77	0.78%	20760	1310340	0.4895429378	
"BOCCHERINI"	5.68	0.76%	20460	1330800	0.4971867925	
"RAMEAU"	5.62	0.76%	20220	1351020	0.5047409832	
"STRAUSS, R."	5.43	0.73%	19560	1370580	0.5120485979	
"BACH, C.P.E."	5.40	0.73%	19440	1390020	0.5193113806	
"GRIEG"	5.10	0.69%	18360	1408380	0.5261706754	
"SPOHR"	4.50	0.61%	16200	1424580	0.5322229943	
"PUCCINI"	4.35	0.59%	15660	1440240	0.5380735693	
"KING FM INSIGHT"	4.33	0.58%	15600	1455840	0.5439017283	
"HAYDN, M."	4.22	0.57%	15180	1471020	0.5495729753	
"BACH, J.C."	4.15	0.56%	14940	1485960	0.5551545583	
"GIULIANI"	4.13	0.56%	14880	1500840	0.5607137253	
"KROMMER"	4.03	0.54%	14520	1515360	0.5661383964	
"CHERUBINI"	3.62	0.49%	13020	1528380	0.5710026675	
"GERSHWIN"	3.60	0.48%	12960	1541340	0.5758445227	
"VAUGHAN WILLIAMS"	3.57	0.48%	12840	1554180	0.5806415458	
"LISZT"	3.55	0.48%	12780	1566960	0.585416153	
"WEISS"	3.42	0.46%	12300	1579260	0.5900114322	
"ELGAR"	3.33	0.45%	12000	1591260	0.5944946314	
"RODRIGO"	3.32	0.45%	11940	1603200	0.5989554146	
"BERWALD"	3.27	0.44%	11760	1614960	0.6033489498	
"SEATTLE OPERA"	3.25	0.44%	11700	1626660	0.607720069	
"FAURÉ"	3.22	0.43%	11580	1638240	0.6120463563	
"WEBER"	3.08	0.41%	11100	1649340	0.6161933155	
"PROKOFIEV"	2.95	0.40%	10620	1659960	0.6201609469	
"WAGNER"	2.78	0.37%	10020	1669980	0.6239044182	
"KUHLAU"	2.68	0.36%	9660	1679640	0.6275133936	
"KRAUS"	2.67	0.36%	9600	1689240	0.6310999529	
"HOLST"	2.65	0.36%	9540	1698780	0.6346640963	
"COPLAND"	2.58	0.35%	9300	1708080	0.6381385757	
"BIZET"	2.57	0.35%	9240	1717320	0.6415906391	
"GLAZUNOV"	2.53	0.34%	9120	1726440	0.6449978705	
"TRADITIONAL"	2.52	0.34%	9060	1735500	0.6483826859	
"SOR"	2.47	0.33%	8880	1744380	0.6517002533	
"CILEA"	2.45	0.33%	8820	1753200	0.6549954047	
"PLEYEL"	2.33	0.31%	8400	1761600	0.6581336442	
"RESPIGHI"	2.32	0.31%	8340	1769940	0.6612494676	
"ALBÉNIZ"	2.28	0.31%	8220	1778160	0.6643204591	
"EINAUDI"	2.28	0.31%	8220	1786380	0.6673914505	
"FRANCK"	2.15	0.29%	7740	1794120	0.670283114	
"SHOSTAKOVICH"	2.07	0.28%	7440	1801560	0.6730626975	
"DITTERSDORF"	1.98	0.27%	7140	1808700	0.6757302011	
"FASCH"	1.97	0.26%	7080	1815780	0.6783752886	
"WRANITZKY"	1.92	0.26%	6900	1822680	0.6809531282	
"ROSSINI"	1.90	0.26%	6840	1829520	0.6835085517	
"BORODIN"	1.90	0.26%	6840	1836360	0.6860639753	
"BERLIOZ"	1.87	0.25%	6720	1843080	0.6885745668	
"GOSSEC"	1.83	0.25%	6600	1849680	0.6910403264	
"SCARLATTI, D."	1.82	0.24%	6540	1856220	0.6934836699	
"CLEMENTI"	1.80	0.24%	6480	1862700	0.6959045975	
"DUSSEK"	1.78	0.24%	6420	1869120	0.6983031091	
"PAGANINI"	1.70	0.23%	6120	1875240	0.7005895407	
"DOWLAND"	1.65	0.22%	5940	1881180	0.7028087243	
"ADAM"	1.63	0.22%	5880	1887060	0.7050054919	
"REICHA"	1.62	0.22%	5820	1892880	0.7071798435	
"RIES"	1.58	0.21%	5700	1898580	0.7093093632	
"TANEYEV"	1.55	0.21%	5580	1904160	0.7113940508	
"STAMITZ, C."	1.55	0.21%	5580	1909740	0.7134787384	
"BARTOK"	1.53	0.21%	5520	1915260	0.7155410101	
"STRAVINSKY"	1.52	0.20%	5460	1920720	0.7175808657	
"DELIUS"	1.50	0.20%	5400	1926120	0.7195983054	
"FIELD"	1.48	0.20%	5340	1931460	0.721593329	
"JANÁCEK"	1.48	0.20%	5340	1936800	0.7235883526	
"DANZI"	1.47	0.20%	5280	1942080	0.7255609603	
"BEACH"	1.45	0.20%	5220	1947300	0.727511152	
"CORELLI"	1.43	0.19%	5160	1952460	0.7294389276	
"PURCELL"	1.43	0.19%	5160	1957620	0.7313667033	
"ONSLOW"	1.43	0.19%	5160	1962780	0.7332944789	
"BRUCH"	1.43	0.19%	5160	1967940	0.7352222546	
"STENHAMMAR"	1.43	0.19%	5160	1973100	0.7371500303	
"MUSSORGSKY"	1.42	0.19%	5100	1978200	0.7390553899	
"HOFFMEISTER"	1.37	0.18%	4920	1983120	0.7408935016	
"KODÁLY"	1.37	0.18%	4920	1988040	0.7427316133	
"MAGNARD"	1.37	0.18%	4920	1992960	0.744569725	
"CRUSELL"	1.35	0.18%	4860	1997820	0.7463854206	
"WALTON"	1.35	0.18%	4860	2002680	0.7482011163	
"DELIBES"	1.35	0.18%	4860	2007540	0.750016812	
"GRANADOS"	1.35	0.18%	4860	2012400	0.7518325077	
"BRUCKNER"	1.30	0.17%	4680	2017080	0.7535809554	
"STRAUSS, JOHANN, JR."	1.25	0.17%	4500	2021580	0.7552621551	
"RIMSKY-KORSAKOV"	1.23	0.17%	4440	2026020	0.7569209388	
"SUK"	1.23	0.17%	4440	2030460	0.7585797225	
"ENESCU"	1.20	0.16%	4320	2034780	0.7601936742	
"BARBER"	1.20	0.16%	4320	2039100	0.7618076259	
"STANFORD"	1.20	0.16%	4320	2043420	0.7634215776	
"SMETANA"	1.20	0.16%	4320	2047740	0.7650355294	
"BREINER"	1.20	0.16%	4320	2052060	0.7666494811	
"VERDI"	1.17	0.16%	4200	2056260	0.7682186008	
"WIENIAWSKI"	1.15	0.15%	4140	2060400	0.7697653045	
"FRESCOBALDI"	1.13	0.15%	4080	2064480	0.7712895923	
"MOZART, L."	1.12	0.15%	4020	2068500	0.772791464	
"SATIE"	1.12	0.15%	4020	2072520	0.7742933357	
